Volume,Descrição do Volume,Rótulo,Pasta 1,Pasta 2,Nome do arquivo,Tamanho em bytes
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110818_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110818_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0002x_SMS13_20110819_052200.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0003x_SMS29_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110818_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110818_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0004O_SMS30_20110819_052200.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0005x_SMS16_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0006x_SMS18_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110817_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110817_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0008x_SMS12_20110818_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0009x_SMS15_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110807_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110807_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110808_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110808_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110808_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110809_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0010x_SMS06_20110809_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110807_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110807_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110808_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110808_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110808_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110809_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110809_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110809_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110810_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110810_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110810_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110811_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110811_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110811_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0011x_SMS14_20110812_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110807_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110807_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110808_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110808_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110808_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110809_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110809_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110809_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110810_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110810_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110810_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110811_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110811_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110811_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0012x_SMS16_20110812_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110807_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110807_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110808_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110808_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110808_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110809_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110809_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110809_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110810_052500.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110810_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110810_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110811_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110811_182800.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110811_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0013x_SMS10_20110812_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110817_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110818_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0015x_SMS07_20110819_052200.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0017x_SMS17_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110813_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110813_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110814_052400.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110814_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110814_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110815_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110815_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110815_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110816_052300.wav,691200512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110816_182700.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110816_210000.wav,345600512
Matinta,Preto lisinho,Disco local Orig 2011,Grav_Originais2011,CF,CFm0018x_SMS04_20110817_052300.wav,691200512
