"Order","Family","Genus","species","Scientific name","English name"
"Rheiiformes","Rheidae","Rhea","americana","Rhea americana","Greater Rhea"
"Rheiiformes","Rheidae","Rhea","pennata","Rhea pennata","Lesser Rhea"
"Tinamiformes","Tinamidae","Nothocercus","julius","Nothocercus julius","Tawny-breasted Tinamou"
"Tinamiformes","Tinamidae","Nothocercus","bonapartei","Nothocercus bonapartei","Highland Tinamou"
"Tinamiformes","Tinamidae","Nothocercus","nigrocapillus","Nothocercus nigrocapillus","Hooded Tinamou"
"Tinamiformes","Tinamidae","Tinamus","tao","Tinamus tao","Gray Tinamou"
"Tinamiformes","Tinamidae","Tinamus","solitarius","Tinamus solitarius","Solitary Tinamou"
"Tinamiformes","Tinamidae","Tinamus","osgoodi","Tinamus osgoodi","Black Tinamou"
"Tinamiformes","Tinamidae","Tinamus","major","Tinamus major","Great Tinamou"
"Tinamiformes","Tinamidae","Tinamus","guttatus","Tinamus guttatus","White-throated Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","berlepschi","Crypturellus berlepschi","Berlepsch's Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","cinereus","Crypturellus cinereus","Cinereous Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","soui","Crypturellus soui","Little Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","ptaritepui","Crypturellus ptaritepui","Tepui Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","obsoletus","Crypturellus obsoletus","Brown Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","undulatus","Crypturellus undulatus","Undulated Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","transfasciatus","Crypturellus transfasciatus","Pale-browed Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","strigulosus","Crypturellus strigulosus","Brazilian Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","duidae","Crypturellus duidae","Gray-legged Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","erythropus","Crypturellus erythropus","Red-legged Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","noctivagus","Crypturellus noctivagus","Yellow-legged Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","atrocapillus","Crypturellus atrocapillus","Black-capped Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","kerriae","Crypturellus kerriae","Choco Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","variegatus","Crypturellus variegatus","Variegated Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","brevirostris","Crypturellus brevirostris","Rusty Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","bartletti","Crypturellus bartletti","Bartlett's Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","parvirostris","Crypturellus parvirostris","Small-billed Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","casiquiare","Crypturellus casiquiare","Barred Tinamou"
"Tinamiformes","Tinamidae","Crypturellus","tataupa","Crypturellus tataupa","Tataupa Tinamou"
"Tinamiformes","Tinamidae","Rhynchotus","rufescens","Rhynchotus rufescens","Red-winged Tinamou"
"Tinamiformes","Tinamidae","Rhynchotus","maculicollis","Rhynchotus maculicollis","Huayco Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","taczanowskii","Nothoprocta taczanowskii","Taczanowski's Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","ornata","Nothoprocta ornata","Ornate Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","perdicaria","Nothoprocta perdicaria","Chilean Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","cinerascens","Nothoprocta cinerascens","Brushland Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","pentlandii","Nothoprocta pentlandii","Andean Tinamou"
"Tinamiformes","Tinamidae","Nothoprocta","curvirostris","Nothoprocta curvirostris","Curve-billed Tinamou"
"Tinamiformes","Tinamidae","Nothura","boraquira","Nothura boraquira","White-bellied Nothura"
"Tinamiformes","Tinamidae","Nothura","minor","Nothura minor","Lesser Nothura"
"Tinamiformes","Tinamidae","Nothura","darwinii","Nothura darwinii","Darwin's Nothura"
"Tinamiformes","Tinamidae","Nothura","maculosa","Nothura maculosa","Spotted Nothura"
"Tinamiformes","Tinamidae","Taoniscus","nanus","Taoniscus nanus","Dwarf Tinamou"
"Tinamiformes","Tinamidae","Eudromia","elegans","Eudromia elegans","Elegant Crested-Tinamou"
"Tinamiformes","Tinamidae","Eudromia","formosa","Eudromia formosa","Quebracho Crested-Tinamou"
"Tinamiformes","Tinamidae","Tinamotis","pentlandii","Tinamotis pentlandii","Puna Tinamou"
"Tinamiformes","Tinamidae","Tinamotis","ingoufi","Tinamotis ingoufi","Patagonian Tinamou"
"Anseriformes","Anhimidae","Anhima","cornuta","Anhima cornuta","Horned Screamer"
"Anseriformes","Anhimidae","Chauna","torquata","Chauna torquata","Southern Screamer"
"Anseriformes","Anhimidae","Chauna","chavaria","Chauna chavaria","Northern Screamer"
"Anseriformes","Anatidae","Dendrocygna","bicolor","Dendrocygna bicolor","Fulvous Whistling-Duck"
"Anseriformes","Anatidae","Dendrocygna","viduata","Dendrocygna viduata","White-faced Whistling-Duck"
"Anseriformes","Anatidae","Dendrocygna","autumnalis","Dendrocygna autumnalis","Black-bellied Whistling-Duck"
"Anseriformes","Anatidae","Anser","anser","Anser anser","Graylag Goose"
